COW,DATE,MILK,CONCENTRATED FEEDING,RELATION,PADDOCK
26,19-oct,28.0,8.0,3.5,1.0
26,26-oct,24.5,6.0,4.1,4.0
26,2-nov,25.5,6.0,4.3,5.0
26,9-nov,27.5,8.0,3.4,3.0
26,15-nov,25.0,8.0,3.1,3.0
26,23-nov,19.0,8.0,2.4,2.0
26,30-nov,29.0,10.0,2.9,1.0
26,7-dic,25.0,8.0,3.1,4.0
26,14-dic,24.0,8.0,3.0,4.0
26,22-dic,25.5,8.0,3.2,5.0
26,28-dic,25.0,8.0,3.1,3.0
8,5-ene,31.5,10.0,3.2,2.0
8,12-ene,30.0,10.0,3.0,2.0
8,19-ene,32.0,10.0,3.2,3.0
8,26-ene,32.0,10.0,3.2,4.0
8,2-feb,31.0,10.0,3.1,5.0
8,9-feb,26.5,8.0,3.3,3.0
8,16-feb,29.5,10.0,3.0,2.0
8,23-feb,31.0,10.0,3.1,1.0
8,2-mar,29.5,10.0,3.0,0.0
8,9-mar,27.5,8.0,3.4,0.0
8,17-mar,27.5,8.0,3.4,0.0
8,23-mar,25.8,8.0,3.2,0.0
8,30-mar,27.0,8.0,3.4,0.0
8,6-abr,28.0,8.0,3.5,1.0
8,14-abr,29.0,10.0,2.9,1.0
8,20-abr,26.5,8.0,3.3,4.0
8,27-abr,24.0,6.0,4.0,5.0
8,4-may,21.5,6.0,3.6,5.0
8,11-may,25.0,8.0,3.1,3.0
8,18-may,23.5,6.0,3.9,2.0
8,25-may,33.5,10.0,3.4,1.0
8,1-jun,23.5,6.0,3.9,1.0
8,8-jun,21.0,4.0,5.3,4.0
8,15-jun,21.0,6.0,3.5,5.0
8,23-jun,20.0,4.0,5.0,3.0
8,26-jun,17.0,4.0,4.3,0.0
8,1-jul,19.0,20.0,1.0,2.0
8,6-jul,18.5,4.0,4.6,2.0
8,13-jul,17.0,4.0,4.3,1.0
8,20-jul,16.0,4.0,4.0,4.0
8,27-jul,17.5,4.0,4.4,5.0
8,3-ago,16.0,0.0,0.0,3.0
8,10-ago,14.5,0.0,0.0,2.0
8,17-ago,0.0,0.0,0.0,0.0
8,24-ago,0.0,0.0,0.0,1.0
8,31-ago,0.0,0.0,0.0,1.0
8,6-sep,0.0,0.0,0.0,4.0
8,13-sep,0.0,0.0,0.0,5.0
8,21-sep,0.0,0.0,0.0,0.0
8,28-sep,0.0,0.0,0.0,0.0
8,4-oct,19.0,8.0,2.4,2.0
8,12-oct,24.5,8.0,3.1,1.0
8,19-oct,30.0,10.0,3.0,1.0
8,26-oct,31.5,10.0,3.2,4.0
8,2-nov,31.0,10.0,3.1,5.0
8,9-nov,31.0,10.0,3.1,3.0
8,15-nov,28.0,10.0,2.8,3.0
8,23-nov,30.0,10.0,3.0,2.0
8,30-nov,28.5,8.0,3.6,1.0
8,7-dic,29.5,10.0,3.0,4.0
8,14-dic,29.5,10.0,3.0,4.0
8,22-dic,29.5,10.0,3.0,5.0
8,28-dic,30.5,10.0,3.1,3.0
10,5-ene,31.5,10.0,3.2,2.0
10,12-ene,31.0,10.0,3.1,2.0
10,19-ene,31.0,10.0,3.1,3.0
10,26-ene,31.5,10.0,3.2,4.0
10,2-feb,30.5,10.0,3.1,5.0
10,9-feb,30.0,10.0,3.0,3.0
10,16-feb,28.0,8.0,3.5,2.0
10,23-feb,33.0,10.0,3.3,1.0
10,2-mar,29.0,10.0,2.9,0.0
10,9-mar,27.5,8.0,3.4,0.0
10,17-mar,24.5,8.0,3.1,0.0
10,23-mar,27.5,8.0,3.4,0.0
10,30-mar,24.0,6.0,4.0,0.0
10,6-abr,25.5,8.0,3.2,1.0
10,14-abr,23.0,6.0,3.8,1.0
10,20-abr,23.0,6.0,3.8,4.0
10,27-abr,18.5,4.0,4.6,5.0
10,4-may,18.0,4.0,4.5,5.0
10,11-may,18.0,4.0,4.5,3.0
10,18-may,17.5,4.0,4.4,2.0
10,25-may,17.5,4.0,4.4,1.0
10,1-jun,18.0,4.0,4.5,1.0
10,8-jun,17.0,4.0,4.3,4.0
10,15-jun,16.0,4.0,4.0,5.0
10,23-jun,14.4,2.0,7.2,3.0
10,26-jun,14.0,2.0,7.0,0.0
10,1-jul,13.5,2.0,6.8,2.0
